Вопрос,Ответ
Аксиомы стереометрии. Первые следствия из аксиом.,"Аксиомы стереометрии:  Какова бы ни была плоскость, существуют точки, принадлежащие ей, и точки, не принадлежащие ей; Если две различные точки имеют общую точку, то они пересекаются по прямой, проходящей через эту точку; Если две различные прямые имеют общую точку, то через них можно провести плоскость и притом только одну; [В разработке] Следствия из аксиом:  Теорема (Т1)(о задании пл-ти по пр. и точке; сущ + единств): через прямую и не лежащую на ней точку можно провести плоскость и притом только одну; Теорема (Т2): если прямая и плоскость имеют 2 общие точки, то прямая принадлежит этой плоскости; Теорема (Т3): через 3 точки, не лежащие на одной прямой, можно провести плоскость и притом только одну."
"Параллельные прямые в пространстве. Существование и единственность прямой, проходящей через данную точку пространства параллельно данной прямой.","Параллельные прямые в пространстве – прямые, которые лежат в одной плоскости и не имеют общих точек. Теорема о существовании и единственности прямой, проходящей через данную точку пространства параллельно данной прямой: [В разработке]"
Параллельные прямые в пространстве. Свойства параллельных прямых.,"Параллельные прямые в пространстве – (см. билет №2). Свойства параллельных прямых: А) Если одна из параллельных прямых пересекает плоскость, то и другая пересекает эту плоскость; Б) Через две параллельные прямые можно провести плоскость и притом только одну; В) Транзитивность параллельности."
Скрещивающиеся прямые. Признаки скрещивающихся прямых.,"Прямые наз. скрещивающимися, если они не лежат в одной плоскости.  Признаки скрещивающихся прямых:  Если прямая лежит в плоскости, а другая прямая пересекает эту плоскость в точке, не лежащей на этой прямой, то эти прямые – скрещивающиеся; Следствие из первого признака: Если прямая пересекает плоскость, то она скрещивается с каждой прямой этой плоскости, не проходящей через точку пересечения. Если две прямые содержат четыре точки, не лежащие в одной плоскости, то эти прямые – скрещивающиеся; Следствие из второго признака: любые четыре точки, не лежащие в одной плоскости, задают 3 пары скрещивающихся прямых."
"Параллельность прямой и плоскости (определение, признак).","Если прямая и плоскость не имеют общих точек, то они наз. параллельными.  Признак параллельности прямой и плоскости: если прямая не принадлежит плоскости и параллельна какой-нибудь прямой в этой плоскости, то данная прямая и данная плоскость параллельны."
Свойства параллельности прямой и плоскости.,"Свойства параллельности прямой и плоскости: А) Теорема (признак парал. прямых/теорема о линии пересечения): если плоскость проходит через прямую, параллельную другой плоскости и пересекает её(плоскость), то данная прямая параллельна линии пересечения; Б) Теорема (о двух плоскостях, через две параллельные прямые): если две плоскости проходят соответственно через две параллельные прямые и пересекаются, то линия их пересечения параллельна данным прямым; В) Свойство: если прямая параллельна плоскости и другой прямой, имеющей с этой плоскостью общую точку, то вторая прямая принадлежит этой плоскости."
"Параллельность плоскостей в пространстве (определение, признак).","Параллельные плоскости – плоскости, не имеющие общих точек. Признак параллельности плоскостей: если две пересекающиеся прямые одной плоскости соответственно параллельны двум прямым другой плоскости, то эти плоскости параллельны. Следствие из признака: если две пересекающиеся прямые параллельны плоскости, то плоскость этих прямых параллельна данной."
"Теорема о существовании и единственности плоскости, параллельной данной плоскости, проходящей через данную точку. Транзитивность параллельности плоскостей.","Теорема о существовании и единственности парал. плоскости: через данную точку, не принадлежащую данной плоскости, можно провести плоскость, параллельную данной и притом только одну. Транзитивность параллельности плоскостей: две плоскости, параллельные третьей, параллельны между собой."
"Параллельность плоскостей в пространстве (определение, свойства).","Параллельные плоскости – плоскости, не имеющие общих точек. Свойства параллельных плоскостей:  А) Если плоскость пересекает одну из двух параллельных плоскостей, то она пересекает и вторую; Б) Теорема о существовании и единственности парал. плоскости: (см. билет №8); В) Транзитивность (см. билет №8); Г) Если две параллельные плоскости пересечены третьей, то линии пересечения параллельны; Д) Теорема о существовании и единственности пары плоскостей, проходящих через скрещивающиеся прямые: через две скрещивающиеся прямые можно провести пару параллельных плоскостей и притом только одну; Е) Если прямая пересекает одну из параллельных плоскостей, то она пересекает и вторую; Ж) Отрезки параллельны прямых, заключённые между параллельными плоскостями, равны. *(Б и В не обязательно)"
Параллельное проектирование и его свойства.,"Параллельное проектирование??? Свойства параллельного проектирования: А) При параллельном проектировании прямая переходит в прямую или точку (два случая: если прямая параллельна направляющей, то переходит в точку; если нет, то в прямую); Б) Отрезки прямых, не параллельных направляющим, при параллельном проектировании переходят в отрезки. Сохраняется отношение отрезков, лежащих на одной прямой; В) При параллельном проектировании параллельные прямые переходят либо в две точки, либо в две параллельные прямые, либо в прямую; Г) Сохраняется отношение отрезков, лежащих на параллельных прямых."
"Перпендикулярность прямой и плоскости (определение, признак).","Перпендикулярность прямой и плоскости – если прямая пересекает плоскость и перпендикулярна любой прямой, проходящей через точку пересечения, то эта прямая перпендикулярна этой плоскости. Признак прямой, перпендикулярной плоскости: прямая, перпендикулярная двум пересекающимся прямым, лежащим в одной плоскости, перпендикулярна этой плоскости."
"Перпендикулярность прямой и плоскости (определение, свойства).","Перпендикулярность прямой и плоскости: (см. билет №11). Свойства: А) Если одна из параллельных прямых перпендикулярна плоскости, то и вторая прямая тоже перпендикулярна этой плоскости; Б) Если две различные прямые перпендикулярны одной плоскости, то они параллельны; В) Если одна из параллельных плоскостей перпендикулярна прямой, то и вторая тоже перпендикулярна этой прямой; Г) Если две различные плоскости перпендикулярны одной прямой, то они параллельны между собой."
"Построение плоскости, перпендикулярной данной прямой (два случая).","Построение плоскости, перпендикулярной данной прямой (2 случая)."
"Построение прямой, перпендикулярной данной плоскости (два случая).","Построение прямой, перпендикулярной данной плоскости (2 случая)."
"Перпендикуляр и наклонная. Свойства наклонных, проведенных к плоскости из одной точки. Теорема о трёх перпендикулярах.","Отрезок, один из концов которого лежит в плоскости и: А) перпендикулярен этой плоскости, называется перпендикуляром к ней; Б) не перпендикулярен этой плоскости, называется наклонной к плоскости. 	Свойства наклонных: А) Если из одной точки проведены к плоскости перпендикуляр и наклонные, то перпендикуляр короче любой наклонной; Б) Наклонные равны т. и т.т., когда равны их проекции; В) Наклонная больше т. и т.т., когда её проекция больше; Г) Разность квадратов наклонных равна разности квадратов их проекций; Д) Наклонная больше, чем её проекция. Теорема о трёх перпендикулярах: прямая, проведённая в плоскости через основание наклонной, перпендикулярна ей т. и т.т., когда она перпендикулярна её проекции."
"Перпендикулярность плоскостей (определение, признак).","Две пересекающиеся плоскости наз. перпендикулярными, если плоскость, перпендикулярная их общей прямой, пересекает их по перпендикулярным прямым. Признак перпендикулярных прямых: если плоскость проходит через прямую, перпендикулярную другой плоскости, то эти плоскости перпендикулярны."
Свойства перпендикулярных плоскостей.,"Свойства перпендикулярных плоскостей: А) Прямая, лежащая в одной из перпендикулярных плоскостей и перпендикулярная их линии пересечения, перпендикулярна второй плоскости; Б) Если через точку одной из перпендикулярных плоскостей проведена прямая, перпендикулярная другой плоскости, то эта прямая лежит в первой плоскости; В) Если две пересекающиеся плоскости перпендикулярны третьей, то линия их пересечения тоже перпендикулярна третьей плоскости."
"Расстояние в пространстве (все случаи взаимного расположения точек, прямых и плоскостей, кроме скрещивающихся прямых).","Расстояние – наименьший отрезок, соединяющий какую-то точку одной фигуры с какой-то точкой другой фигуры. Расстояния в пространстве: А) Расстояние от точки до точки – длина отрезка с концами в этих точках; Б) Расстояние от точки до прямой – длина перпендикуляра, опущенного из этой точки на эту прямую; В) Расстояние от точки до плоскости – длина перпендикуляра, опущенного из этой точки на эту плоскость; Г) Расстояние между параллельными прямыми – длина перпендикуляра, опущенного из любой точки одной прямой на другую; Д) Расстояние между параллельной прямой и плоскостью – длина перпендикуляра, опущенного из любой точки этой прямой на эту плоскость; Е) Расстояние между параллельными плоскостями – длина перпендикуляра, опущенного из любой точки одной плоскости на другую плоскость."
"Свойства точек, равноудаленных от всех вершин/сторон многоугольника.","Свойства точек, равноудалённых от всех вершин/сторон многоугольника: А) Теорема: точка, не лежащая в плоскости многоугольника, равноудалена от его вершин т. и т.т., когда она проектируется в центр окружности, описанной около многоугольника. Б) Теорема: точка, не лежащая в плоскости многоугольника, равноудалена от его сторон т. и т.т., когда она проектируется в центр окружности, вписанной в многоугольник. (В случае треугольника может быть центр вневписанной окружности!). *(оба доказательства нужно в две стороны)"
Расстояние между скрещивающимися прямыми. Общий перпендикуляр между скрещивающимися прямыми (существование и единственность).,"Отрезок с концами на двух скрещивающихся прямых, перпендикулярный каждой из них, наз. общим перпендикуляром. Теорема о существовании и единственности общего перпендикуляра: две скрещивающиеся прямые имеют общий перпендикуляр, и притом только один. Он является общим перпендикуляром параллельных плоскостей, проходящих через данные прямые."
"Угол между прямыми в пространстве. Теорема об углах с соответственно сонаправленными сторонами. Угол между прямой и плоскостью (доказательство того, что это меньший из возможных углов).","Угол между прямыми в пространстве: А) Если прямые параллельны (ǁ), то угол между ними считают 0°; Б) Если прямые пересекаются (∩), то величиной угла между ними считают наименьшую из величин углов, образованных при пересечении; В) Если прямые скрещиваются(∸), то величиной угла между ними – величина между соответствующими параллельными им прямыми, проходящими через одну точку. 	Угол между прямой и плоскостью: А) Если прямая параллельна плоскости или принадлежит ей, то величиной угла между этой прямой и этой плоскостью будем считать 0°; Б) Если прямая перпендикулярна плоскости, то величиной угла между ними будем считать 90°; В) Если прямая является наклонной прямой к плоскости, то величиной угла между ними называется величина угла между этой прямой и её проекцией на эту плоскость. Теорема: угол между прямой и плоскостью – меньший из возможных. (Доказательство: пусть есть прямая L, с которой угол меньше. Проводим через точку пересечения параллельную ей L`. Из точки изначальной прямой опускаем перпендикуляр на L`. Смотрим синусы. + случай равенства при 90°). Теорема об углах с соответственно со направленными сторонами: два угла с попарно сонаправленными сторонами равны. (Доказательство: откладываем на параллельных прямых равные отрезки, получаем равные треугольники => углы равны)."
Двугранный угол. Линейный угол двугранного угла. Теорема о линейных углах двугранного угла. Угол между плоскостями.,"Двугранный угол – фигура, состоящая из двух различных полуплоскостей с общей границей. Полуплоскости – грани, общая граница – ребро. От 0° до 180°. Линейный угол двугранного угла – пересечение данного угла и плоскости, перпендикулярной его ребру. От 0° до 180°. Теорема о линейных углах двугранного угла: величина линейного угла не зависит от выбора плоскости. Угол между плоскостями - величина угла между прямыми, образованными при пересечении данных плоскостей плоскостью, перпендикулярной их линии пересечения (если плоскости параллельны (ǁ), то угол 0°). От 0° до 90°."
Площадь ортогональной проекции многоугольника.,"Теорема (площадь ортогональной проекции многоугольника): площадь проекции многоугольника на плоскость равна произведению площади многоугольника и косинуса угла между его плоскостью и плоскостью проекции. Доказываем для треугольника, остальные многоугольники разрезаем на треугольники. Для треугольника четыре случая: 		А) Если одна сторона треугольника лежит в плоскости; 		Б) Если плоскость треугольника параллельна плоскости; В) Если одна сторона треугольника параллельна плоскости. Проводим плоскость через эту сторону, параллельно плоскости проекции…; Г) Никакая сторона треугольника не параллельна плоскости проекции. Строим плоскость через вершину треугольника параллельно плоскость проекции. Проектируем все на неё, потом с неё на плоскость проекции…"
